sn	wn	word	frequency	rv100	sp100	spm	spu	len	distance	freq.class	spu.class	rv100.class
141	2	ganzen	137	197	0	6.61735	2.83593	6	NA	3	3	1
141	3	Tag	267	396	0	6.60187	0.20204	3	NA	3	1	2
141	4	über	2638	396	0.10683	6.42835	2.88092	4	NA	4	3	2
141	5	konnte	367	396	0.66474	4.34233	8.83625	6	NA	3	5	2
141	6	man	1893	636	0.40968	17.40546	5.6196	3	NA	4	5	3
141	7	die	30483	378	0.91629	6.31847	2.97029	3	NA	5	3	2
141	8	Raben	2	430	1.20221	6.48133	1.04419	5	NA	1	2	3
141	9	krächzen	1	425	1.2967	6.58696	4.40751	8	NA	1	4	3
141	10	hören	NA	NA	NA	NA	3.11903	6	NA	NA	3	NA
142	1	Vor	NA	NA	NA	NA	3.15662	3	NA	NA	3	NA
142	2	dem	6578	197	0	6.59812	1.28977	3	NA	4	2	1
142	3	Auftritt	36	396	0	6.63445	0.71914	8	NA	2	1	2
142	4	schminken	2	406	0.15211	6.58696	2.65995	9	NA	1	3	3
142	5	die	30483	378	0.38616	10.59239	1.73807	3	NA	5	2	2
142	6	Schauspieler	37	372	0.78256	6.54856	0.77978	12	NA	2	1	2
142	7	sich	NA	NA	NA	NA	7.95378	5	NA	NA	5	NA
143	1	Die	NA	NA	NA	NA	2.0456	3	NA	NA	3	NA
143	2	zwei	924	197	0	6.61735	6.96436	4	NA	3	5	1
143	3	frechen	3	474	0	6.5053	3.15385	7	NA	1	3	3
143	4	Jungs	16	500	0.09336	10.72189	0.24471	5	NA	2	1	3
143	5	heucheln	1	345	0.79027	6.42835	2.10384	8	NA	1	3	2
143	6	Unschuld	NA	NA	NA	NA	4.94429	9	NA	NA	4	NA
144	1	Manche	NA	NA	NA	NA	5.93747	6	NA	NA	5	NA
144	2	Menschen	616	197	0	5.95961	1.32205	8	NA	3	2	1
144	3	stottern	1	396	0	6.498	8.76992	8	NA	1	5	2
144	4	bei	2956	429	0.13786	9.88174	6.57951	3	NA	4	5	3
144	5	Nervosität	NA	NA	NA	NA	1.87366	11	NA	NA	2	NA
