sn	wn	word	frequency	rv100	sp100	spm	spu	len	distance	freq.class	spu.class	rv100.class
34	6	selbst	713	396	1.05101	5.82734	2.6532	6	NA	3	3	2
34	7	ein	5821	345	1.34093	4.27103	1.9785	3	NA	4	2	2
34	8	Ohr	19	423	1.40107	5.85431	2.85362	3	NA	2	3	3
34	9	abgeschnitten	NA	NA	NA	NA	2.20825	14	NA	NA	3	NA
35	1	Das	NA	NA	NA	NA	2.47204	3	NA	NA	3	NA
35	2	Pferd	17	197	0	6.61735	0.78317	5	NA	2	1	1
35	3	ist	6985	396	0	6.58696	2.69387	3	NA	4	3	2
35	4	seinem	574	429	0.04806	10.68483	6.60054	6	NA	3	5	3
35	5	Reiter	15	396	0.37006	6.23016	0.34104	6	NA	2	1	2
35	6	auf	7037	423	0.73265	6.62796	2.27404	3	NA	4	3	3
35	7	den	12013	197	0.97095	6.45806	1.19735	3	NA	5	2	1
35	8	Fuß	45	219	1.31618	6.63445	0.86526	3	NA	2	1	1
35	9	getreten	NA	NA	NA	NA	3.87291	9	NA	NA	4	NA
36	1	Kein	NA	NA	NA	NA	7.0255	4	NA	NA	5	NA
36	2	einziges	25	197	0	5.95961	2.48395	8	NA	2	3	1
36	3	Tor	56	396	0	5.44533	0.29354	3	NA	2	1	2
36	4	fiel	68	396	0.16097	6.42835	2.17441	4	NA	2	3	2
36	5	im	6748	606	0.4735	14.03257	2.07592	2	NA	4	3	3
36	6	gestrigen	18	345	1.03211	6.52783	3.42179	9	NA	2	3	2
36	7	Spiel	NA	NA	NA	NA	0.20634	6	NA	NA	1	NA
37	1	Der	NA	NA	NA	NA	2.0456	3	NA	NA	3	NA
37	2	Skandal	20	197	0	6.61735	1.17345	7	NA	2	2	1
37	3	hat	3572	396	0	6.58696	2.72814	3	NA	4	3	2
37	4	dem	6578	429	0.05605	10.68483	2.59559	3	NA	4	3	3
37	5	Ruf	46	423	0.34689	6.62023	0.68364	3	NA	2	1	3
37	6	des	7866	423	0.67041	6.58696	2.76736	3	NA	4	3	3
37	7	Politikers	5	680	0.82395	6.56709	1.17194	10	NA	1	2	3
37	8	deutlich	203	505	1.05631	6.58696	4.80956	8	NA	3	4	3
37	9	geschadet	NA	NA	NA	NA	3.41872	10	NA	NA	3	NA
38	1	Als	NA	NA	NA	NA	2.32348	3	NA	NA	3	NA
38	2	Kapitalanlage	2	197	0	6.59812	2.91864	13	NA	1	3	1
38	3	ist	6985	396	0	6.61166	3.23233	3	NA	4	3	2
38	4	Gold	41	345	0.17411	10.18502	2.8719	4	NA	2	3	2
38	5	nicht	7078	372	0.60855	6.05124	6.66378	5	NA	4	5	2
38	6	zu	9469	394	1.12119	9.25548	1.10309	2	NA	4	2	2
38	7	empfehlen	NA	NA	NA	NA	3.66708	10	NA	NA	4	NA
39	1	Markus	NA	NA	NA	NA	3.77039	6	NA	NA	4	NA
39	2	klettert	3	197	0	6.58823	2.43491	8	NA	1	3	1
39	3	gern	82	396	0	10.91721	3.43464	4	NA	2	3	2
39	4	auf	7037	345	0.13046	4.85287	1.44405	3	NA	4	2	2
39	5	den	12013	345	0.70896	6.36081	1.43979	3	NA	5	2	2
39	6	alten	263	345	1.45562	6.63445	2.28838	5	NA	3	3	2
39	7	Baum	23	498	1.67451	6.60187	0.17519	4	NA	2	1	3
39	8	im	6748	219	1.4406	6.42835	2.64694	2	NA	4	3	1
39	9	Garten	NA	NA	NA	NA	1.85772	7	NA	NA	2	NA
40	1	Sarah	NA	NA	NA	NA	3.77039	5	NA	NA	4	NA
40	2	hat	3572	197	0	6.58823	3.64805	3	NA	4	4	1
40	3	ihrem	358	396	0	10.77865	6.5199	5	NA	3	5	2
40	4	Opa	4	429	0.10588	6.23016	0.3468	3	NA	1	1	3
40	5	ein	5821	616	0.49571	6.62796	4.29531	3	NA	4	4	3
40	6	Bild	225	445	1.51341	6.56709	2.16416	4	NA	3	3	3
40	7	gemalt	NA	NA	NA	NA	3.68656	7	NA	NA	4	NA
41	1	Medizinisch	NA	NA	NA	NA	3.86383	11	NA	NA	4	NA
41	2	gesehen	108	197	0	6.5047	6.47888	7	NA	3	5	1
41	3	ist	6985	396	0	9.9985	2.95868	3	NA	4	3	2
41	4	das	8502	474	0.09683	10.87259	2.299	3	NA	4	3	3
41	5	Herz	52	394	0.87043	6.62023	1.02189	4	NA	2	2	2
41	6	ein	5821	197	1.37197	6.58696	2.32208	3	NA	4	3	1
41	7	Hohlmuskel	NA	NA	NA	NA	1.40386	11	NA	NA	2	NA
42	1	Jede	NA	NA	NA	NA	5.93747	4	NA	NA	5	NA
42	2	Sprache	124	197	0	5.95961	1.32205	7	NA	3	2	1
42	3	der	33429	396	0	6.498	4.92091	3	NA	5	4	2
42	4	Welt	480	636	0.16303	6.56709	0.56188	4	NA	3	1	3
42	5	besitzt	40	522	0.548	6.58696	2.81296	7	NA	2	3	3
42	6	eine	5526	382	0.76202	10.59239	2.29662	4	NA	4	3	2
42	7	Grammatik	NA	NA	NA	NA	0.68739	10	NA	NA	1	NA
43	1	Unsere	NA	NA	NA	NA	6.58385	6	NA	NA	5	NA
43	2	Küche	28	197	0	6.0757	0.34773	5	NA	2	1	1
43	3	müßte	78	396	0	6.62796	3.9983	5	NA	2	4	2
43	4	dringend	40	429	0.1313	12.1271	4.61929	8	NA	2	4	3
43	5	neu	155	396	0.8071	6.41467	4.82019	3	NA	3	4	2
43	6	gestrichen	22	423	1.44363	10.13507	1.9773	10	NA	2	2	3
43	7	werden	NA	NA	NA	NA	4.02377	7	NA	NA	4	NA
44	1	Der	NA	NA	NA	NA	2.0456	3	NA	NA	3	NA
44	2	Politiker	120	197	0	6.61735	1.17345	9	NA	3	2	1
44	3	reagierte	22	396	0	6.58696	2.42056	9	NA	2	3	2
44	4	auf	7037	429	0.05627	10.59239	1.5833	3	NA	4	2	3
44	5	keine	900	396	0.2357	6.55093	5.40761	5	NA	3	5	2
44	6	Frage	389	345	0.5358	6.42414	1.47551	5	NA	3	2	2
