experiment simulation item wn word enctime ecc freq1
STAUB10 11 ORC 4 "the" 17 1.475 .00370
STAUB10 11 ORC 5 "fireman" 24 2.260 .00370
STAUB10 11 ORC 6 "noticed" 36 3.026 .00370
STAUB10 11 ORC 7 "hurried" 33 2.956 .00370
STAUB10 11 ORC 8 "to" 20 1.939 .00370
STAUB10 11 ORC 9 "the" 31 3.486 .00370
STAUB10 11 ORC 10 "clinic" 26 2.014 .00370
STAUB10 11 ORC 11 "*" 24 1.710 .00370
STAUB10 12 SRC 1 "the" 18 1.557 .00370
STAUB10 12 SRC 2 "employees" 35 2.647 .00370
STAUB10 12 SRC 3 "who" 22 2.400 .00370
STAUB10 12 SRC 4 "noticed" 37 2.604 .00370
STAUB10 12 SRC 5 "the" 27 1.810 .00370
STAUB10 12 SRC 6 "fireman" 33 2.705 .00370
STAUB10 12 SRC 7 "hurried" 36 2.878 .00370
STAUB10 12 SRC 8 "to" 29 1.885 .00370
STAUB10 12 SRC 9 "the" 27 1.573 .00370
STAUB10 12 SRC 10 "clinic" 17 1.361 .00370
STAUB10 12 SRC 11 "*" 18 2.116 .00370
STAUB10 12 ORC 1 "the" 16 1.390 .00370
STAUB10 12 ORC 2 "employees" 32 2.507 .00370
STAUB10 12 ORC 3 "who" 98 4.847 .00370
STAUB10 12 ORC 4 "the" 22 1.535 .00370
STAUB10 12 ORC 5 "fireman" 85 4.423 .00370
STAUB10 12 ORC 2 "employees" 29 1.982 .00370
STAUB10 12 ORC 3 "who" 33 2.252 .00370
STAUB10 12 ORC 4 "the" 21 1.445 .00370
STAUB10 12 ORC 5 "fireman" 49 3.547 .00370
STAUB10 12 ORC 6 "noticed" 49 3.027 .00370
STAUB10 12 ORC 7 "hurried" 50 3.448 .00370
STAUB10 12 ORC 8 "to" 32 1.962 .00370
STAUB10 12 ORC 9 "the" 18 1.296 .00370
STAUB10 12 ORC 10 "clinic" 52 3.615 .00370
STAUB10 12 ORC 11 "*" 22 1.549 .00370
STAUB10 13 SRC 1 "the" 17 1.629 .00370
STAUB10 13 SRC 2 "employees" 41 2.909 .00370
STAUB10 13 SRC 3 "who" 27 1.985 .00370
STAUB10 13 SRC 4 "noticed" 22 2.065 .00370
STAUB10 13 SRC 5 "the" 37 2.667 .00370
STAUB10 13 SRC 6 "fireman" 24 2.289 .00370
