experiment simulation item wn word enctime ecc freq1
"MV13-1" 5 HIGH 17 "de" 16 1.700 .00370
"MV13-1" 5 HIGH 18 "musica" 58 3.584 .00370
"MV13-1" 5 HIGH 19 "*" 19 1.612 .00370
"MV13-1" 5 LOW 1 "el" 20 1.113 .00370
"MV13-1" 5 LOW 2 "profesor" 38 2.381 .00370
"MV13-1" 5 LOW 3 "dijo" 29 3.274 .00370
"MV13-1" 5 LOW 4 "que" 63 4.567 .00370
"MV13-1" 5 LOW 5 "los" 21 1.531 .00370
"MV13-1" 5 LOW 6 "alumnos" 43 3.498 .00370
"MV13-1" 5 LOW 7 "selevantaran" 39 3.656 .00370
"MV13-1" 5 LOW 8 "del" 55 3.297 .00370
"MV13-1" 5 LOW 9 "asiento" 20 1.983 .00370
"MV13-1" 5 LOW 10 "cuando" 38 2.868 .00370
"MV13-1" 5 LOW 11 "los" 23 2.369 .00370
"MV13-1" 5 LOW 12 "directores" 41 3.285 .00370
"MV13-1" 5 LOW 13 "entraran" 38 3.255 .00370
"MV13-1" 5 LOW 14 "en" 23 2.422 .00370
"MV13-1" 5 LOW 15 "la" 14 1.226 .00370
"MV13-1" 5 LOW 16 "clase" 23 1.485 .00370
"MV13-1" 5 LOW 17 "de" 25 1.472 .00370
"MV13-1" 5 LOW 18 "musica" 27 2.201 .00370
"MV13-1" 5 LOW 19 "*" 25 1.591 .00370
"MV13-1" 5 UNAMB 1 "el" 17 1.386 .00370
"MV13-1" 5 UNAMB 2 "profesor" 82 4.360 .00370
"MV13-1" 5 UNAMB 3 "dijo" 26 1.912 .00370
"MV13-1" 5 UNAMB 4 "que" 31 2.022 .00370
"MV13-1" 5 UNAMB 5 "los" 21 1.468 .00370
"MV13-1" 5 UNAMB 6 "alumnos" 28 2.275 .00370
"MV13-1" 5 UNAMB 7 "selevantaran" 42 3.790 .00370
"MV13-1" 5 UNAMB 8 "del" 32 3.340 .00370
"MV13-1" 5 UNAMB 9 "asiento" 26 2.341 .00370
"MV13-1" 5 UNAMB 10 "si" 31 2.302 .00370
"MV13-1" 5 UNAMB 11 "los" 41 3.014 .00370
"MV13-1" 5 UNAMB 9 "asiento" 15 0.205 .00370
"MV13-1" 5 UNAMB 10 "si" 20 1.899 .00370
"MV13-1" 5 UNAMB 11 "los" 21 1.276 .00370
"MV13-1" 5 UNAMB 12 "directores" 28 2.916 .00370
"MV13-1" 5 UNAMB 13 "entraban" 53 3.766 .00370
"MV13-1" 5 UNAMB 14 "en" 20 2.397 .00370
"MV13-1" 5 UNAMB 15 "la" 52 3.179 .00370
"MV13-1" 5 UNAMB 16 "clase" 21 1.907 .00370
"MV13-1" 5 UNAMB 17 "de" 29 1.693 .00370
"MV13-1" 5 UNAMB 18 "musica" 19 1.525 .00370
"MV13-1" 5 UNAMB 19 "*" 28 2.683 .00370
"MV13-1" 6 HIGH 1 "el" 22 1.071 .00370
"MV13-1" 6 HIGH 2 "profesor" 34 2.529 .00370
"MV13-1" 6 HIGH 3 "dijo" 20 2.008 .00370
"MV13-1" 6 HIGH 4 "que" 32 2.294 .00370
"MV13-1" 6 HIGH 5 "los" 20 1.321 .00370
"MV13-1" 6 HIGH 6 "alumnos" 42 2.593 .00370
"MV13-1" 6 HIGH 7 "selevantaran" 52 3.593 .00370
"MV13-1" 6 HIGH 8 "del" 52 3.265 .00370
"MV13-1" 6 HIGH 9 "asiento" 30 1.969 .00370
"MV13-1" 6 HIGH 10 "cuando" 45 3.157 .00370
"MV13-1" 6 HIGH 11 "los" 27 1.943 .00370
"MV13-1" 6 HIGH 12 "directores" 32 2.579 .00370
"MV13-1" 6 HIGH 13 "entraron" 95 5.998 .00370
"MV13-1" 6 HIGH 1 "el" 1367478 28.867 .00370
"MV13-1" 6 HIGH 1 "el" 25 1.842 .00370
"MV13-1" 6 HIGH 2 "profesor" 39 3.318 .00370
"MV13-1" 6 HIGH 3 "dijo" 22 2.475 .00370
"MV13-1" 6 HIGH 4 "que" 31 2.132 .00370
"MV13-1" 6 HIGH 5 "los" 20 1.372 .00370
"MV13-1" 6 HIGH 6 "alumnos" 34 2.201 .00370
"MV13-1" 6 HIGH 7 "selevantaran" 38 3.818 .00370
"MV13-1" 6 HIGH 8 "del" 63 3.990 .00370
"MV13-1" 6 HIGH 9 "asiento" 20 2.357 .00370
"MV13-1" 6 HIGH 10 "cuando" 35 2.430 .00370
"MV13-1" 6 HIGH 11 "los" 44 2.732 .00370
"MV13-1" 6 HIGH 12 "directores" 30 2.816 .00370
"MV13-1" 6 HIGH 13 "entraron" 25 2.896 .00370
"MV13-1" 6 HIGH 14 "en" 26 2.804 .00370
"MV13-1" 6 HIGH 15 "la" 14 1.029 .00370
"MV13-1" 6 HIGH 16 "clase" 17 1.773 .00370
"MV13-1" 6 HIGH 17 "de" 26 1.702 .00370
"MV13-1" 6 HIGH 18 "musica" 23 1.683 .00370
"MV13-1" 6 HIGH 19 "*" 19 1.645 .00370
"MV13-1" 6 LOW 1 "el" 25 1.285 .00370
"MV13-1" 6 LOW 2 "profesor" 22 2.369 .00370
"MV13-1" 6 LOW 3 "dijo" 24 2.474 .00370
"MV13-1" 6 LOW 4 "que" 83 4.786 .00370
"MV13-1" 6 LOW 5 "los" 12 0.832 .00370
"MV13-1" 6 LOW 6 "alumnos" 48 3.028 .00370
"MV13-1" 6 LOW 7 "selevantaran" 72 4.030 .00370
"MV13-1" 6 LOW 8 "del" 34 3.361 .00370
"MV13-1" 6 LOW 9 "asiento" 20 2.036 .00370
"MV13-1" 6 LOW 10 "cuando" 30 2.652 .00370
"MV13-1" 6 LOW 11 "los" 28 1.976 .00370
"MV13-1" 6 LOW 12 "directores" 35 3.620 .00370
"MV13-1" 6 LOW 13 "entraran" 47 3.055 .00370
"MV13-1" 6 LOW 14 "en" 26 2.383 .00370
"MV13-1" 6 LOW 15 "la" 47 3.564 .00370
"MV13-1" 6 LOW 16 "clase" 27 1.745 .00370
"MV13-1" 6 LOW 17 "de" 40 2.802 .00370
"MV13-1" 6 LOW 18 "musica" 31 2.056 .00370
"MV13-1" 6 LOW 19 "*" 26 2.025 .00370
"MV13-1" 6 UNAMB 1 "el" 25 1.313 .00370
"MV13-1" 6 UNAMB 2 "profesor" 26 2.583 .00370
"MV13-1" 6 UNAMB 3 "dijo" 35 3.892 .00370
"MV13-1" 6 UNAMB 4 "que" 39 2.855 .00370
