experiment simulation item wn word attachtime
"MV13-1" 7 UNAMB 18 "MUSICA" 28
"MV13-1" 8 HIGH 1 "EL" 24
"MV13-1" 8 HIGH 2 "PROFESOR" 70
"MV13-1" 8 HIGH 3 "DIJO" 31
"MV13-1" 8 HIGH 4 "QUE" 70
"MV13-1" 8 HIGH 5 "LOS" 70
"MV13-1" 8 HIGH 6 "ALUMNOS" 28
"MV13-1" 8 HIGH 7 "SELEVANTARAN" 70
"MV13-1" 8 HIGH 8 "DEL" 70
"MV13-1" 8 HIGH 9 "ASIENTO" 70
"MV13-1" 8 HIGH 10 "CUANDO" 20
"MV13-1" 8 HIGH 11 "LOS" 28
"MV13-1" 8 HIGH 12 "DIRECTORES" 30
"MV13-1" 8 HIGH 13 "ENTRARON" 35
"MV13-1" 8 HIGH 14 "EN" 33
"MV13-1" 8 HIGH 15 "LA" 70
"MV13-1" 8 HIGH 16 "CLASE" 31
"MV13-1" 8 HIGH 17 "de" 34
"MV13-1" 8 HIGH 18 "MUSICA" 70
"MV13-1" 8 LOW 1 "EL" 70
"MV13-1" 8 LOW 2 "PROFESOR" 29
"MV13-1" 8 LOW 3 "DIJO" 39
"MV13-1" 8 LOW 4 "QUE" 33
"MV13-1" 8 LOW 5 "LOS" 22
"MV13-1" 8 LOW 6 "ALUMNOS" 23
"MV13-1" 8 LOW 7 "SELEVANTARAN" 25
"MV13-1" 8 LOW 8 "DEL" 26
"MV13-1" 8 LOW 9 "ASIENTO" 70
"MV13-1" 8 LOW 10 "CUANDO" 20
"MV13-1" 8 LOW 11 "LOS" 70
"MV13-1" 8 LOW 12 "DIRECTORES" 70
"MV13-1" 8 LOW 13 "ENTRARAN" 70
"MV13-1" 8 LOW 14 "EN" 70
"MV13-1" 8 LOW 15 "LA" 70
"MV13-1" 8 LOW 16 "CLASE" 30
"MV13-1" 8 LOW 17 "de" 36
"MV13-1" 8 LOW 18 "MUSICA" 70
"MV13-1" 8 UNAMB 1 "EL" 23
"MV13-1" 8 UNAMB 2 "PROFESOR" 28
"MV13-1" 8 UNAMB 3 "DIJO" 33
"MV13-1" 8 UNAMB 4 "QUE" 25
"MV13-1" 8 UNAMB 5 "LOS" 26
"MV13-1" 8 UNAMB 6 "ALUMNOS" 27
"MV13-1" 8 UNAMB 7 "SELEVANTARAN" 28
"MV13-1" 8 UNAMB 8 "DEL" 28
"MV13-1" 8 UNAMB 9 "ASIENTO" 28
"MV13-1" 8 UNAMB 10 "SI" 48
"MV13-1" 8 UNAMB 11 "LOS" 27
"MV13-1" 8 UNAMB 12 "DIRECTORES" 70
"MV13-1" 8 UNAMB 13 "ENTRABAN" 70
"MV13-1" 8 UNAMB 14 "EN" 30
"MV13-1" 8 UNAMB 15 "LA" 70
"MV13-1" 8 UNAMB 16 "CLASE" 30
"MV13-1" 8 UNAMB 17 "de" 28
"MV13-1" 8 UNAMB 18 "MUSICA" 26
"MV13-1" 9 HIGH 1 "EL" 24
"MV13-1" 9 HIGH 2 "PROFESOR" 24
"MV13-1" 9 HIGH 3 "DIJO" 70
"MV13-1" 9 HIGH 4 "QUE" 25
"MV13-1" 9 HIGH 5 "LOS" 70
"MV13-1" 9 HIGH 6 "ALUMNOS" 30
"MV13-1" 9 HIGH 7 "SELEVANTARAN" 70
"MV13-1" 9 HIGH 8 "DEL" 70
"MV13-1" 9 HIGH 9 "ASIENTO" 27
"MV13-1" 9 HIGH 10 "CUANDO" 20
"MV13-1" 9 HIGH 11 "LOS" 70
"MV13-1" 9 HIGH 12 "DIRECTORES" 32
"MV13-1" 9 HIGH 13 "ENTRARON" 36
"MV13-1" 9 HIGH 14 "EN" 29
"MV13-1" 9 HIGH 15 "LA" 33
"MV13-1" 9 HIGH 16 "CLASE" 30
"MV13-1" 9 HIGH 17 "de" 30
"MV13-1" 9 HIGH 18 "MUSICA" 31
"MV13-1" 9 LOW 1 "EL" 23
"MV13-1" 9 LOW 2 "PROFESOR" 28
"MV13-1" 9 LOW 3 "DIJO" 70
"MV13-1" 9 LOW 4 "QUE" 26
"MV13-1" 9 LOW 5 "LOS" 22
"MV13-1" 9 LOW 6 "ALUMNOS" 70
"MV13-1" 9 LOW 7 "SELEVANTARAN" 29
"MV13-1" 9 LOW 8 "DEL" 30
"MV13-1" 9 LOW 9 "ASIENTO" 29
"MV13-1" 9 LOW 10 "CUANDO" 20
"MV13-1" 9 LOW 11 "LOS" 26
"MV13-1" 9 LOW 12 "DIRECTORES" 27
"MV13-1" 9 LOW 13 "ENTRARAN" 35
"MV13-1" 9 LOW 14 "EN" 29
"MV13-1" 9 LOW 15 "LA" 70
"MV13-1" 9 LOW 16 "CLASE" 70
"MV13-1" 9 LOW 17 "de" 31
"MV13-1" 9 LOW 18 "MUSICA" 30
"MV13-1" 9 UNAMB 1 "EL" 23
"MV13-1" 9 UNAMB 2 "PROFESOR" 24
"MV13-1" 9 UNAMB 3 "DIJO" 29
"MV13-1" 9 UNAMB 4 "QUE" 29
"MV13-1" 9 UNAMB 5 "LOS" 22
"MV13-1" 9 UNAMB 6 "ALUMNOS" 70
"MV13-1" 9 UNAMB 7 "SELEVANTARAN" 70
"MV13-1" 9 UNAMB 8 "DEL" 70
"MV13-1" 9 UNAMB 9 "ASIENTO" 29
"MV13-1" 9 UNAMB 10 "SI" 42
"MV13-1" 9 UNAMB 11 "LOS" 22
"MV13-1" 9 UNAMB 12 "DIRECTORES" 27
"MV13-1" 9 UNAMB 13 "ENTRABAN" 70
"MV13-1" 9 UNAMB 14 "EN" 70
"MV13-1" 9 UNAMB 15 "LA" 26
"MV13-1" 9 UNAMB 16 "CLASE" 70
"MV13-1" 9 UNAMB 17 "de" 31
"MV13-1" 9 UNAMB 18 "MUSICA" 70
"MV13-1" 10 HIGH 1 "EL" 70
"MV13-1" 10 HIGH 2 "PROFESOR" 27
"MV13-1" 10 HIGH 3 "DIJO" 34
"MV13-1" 10 HIGH 4 "QUE" 28
"MV13-1" 10 HIGH 5 "LOS" 23
"MV13-1" 10 HIGH 6 "ALUMNOS" 30
"MV13-1" 10 HIGH 7 "SELEVANTARAN" 79
"MV13-1" 10 HIGH 8 "DEL" 29
"MV13-1" 10 HIGH 9 "ASIENTO" 26
"MV13-1" 10 HIGH 10 "CUANDO" 20
"MV13-1" 10 HIGH 11 "LOS" 25
"MV13-1" 10 HIGH 12 "DIRECTORES" 70
"MV13-1" 10 HIGH 13 "ENTRARON" 40
"MV13-1" 10 HIGH 14 "EN" 70
"MV13-1" 10 HIGH 15 "LA" 70
"MV13-1" 10 HIGH 16 "CLASE" 70
"MV13-1" 10 HIGH 17 "de" 70
"MV13-1" 10 HIGH 18 "MUSICA" 29
"MV13-1" 10 LOW 1 "EL" 70
"MV13-1" 10 LOW 2 "PROFESOR" 70
"MV13-1" 10 LOW 3 "DIJO" 70
"MV13-1" 10 LOW 4 "QUE" 26
"MV13-1" 10 LOW 5 "LOS" 70
"MV13-1" 10 LOW 6 "ALUMNOS" 70
"MV13-1" 10 LOW 7 "SELEVANTARAN" 70
"MV13-1" 10 LOW 8 "DEL" 29
"MV13-1" 10 LOW 9 "ASIENTO" 27
"MV13-1" 10 LOW 10 "CUANDO" 20
"MV13-1" 10 LOW 11 "LOS" 23
"MV13-1" 10 LOW 12 "DIRECTORES" 29
"MV13-1" 10 LOW 13 "ENTRARAN" 32
"MV13-1" 10 LOW 14 "EN" 38
"MV13-1" 10 LOW 15 "LA" 70
"MV13-1" 10 LOW 16 "CLASE" 29
"MV13-1" 10 LOW 17 "de" 32
"MV13-1" 10 LOW 18 "MUSICA" 34
"MV13-1" 10 UNAMB 1 "EL" 70
"MV13-1" 10 UNAMB 2 "PROFESOR" 29
"MV13-1" 10 UNAMB 3 "DIJO" 37
"MV13-1" 10 UNAMB 4 "QUE" 70
"MV13-1" 10 UNAMB 5 "LOS" 70
"MV13-1" 10 UNAMB 6 "ALUMNOS" 31
