experiment simulation item wn word timeout.eyeloc
"MV13-58" 4 UNAMB 16 "clase" 16
"MV13-58" 5 UNAMB 10 "si" 9
"MV13-58" 6 UNAMB 10 "si" 9
"MV13-58" 8 UNAMB 4 "que" 3
"MV13-58" 8 UNAMB 10 "si" 10
"MV13-58" 9 UNAMB 14 "en" 13
"MV13-58" 11 LOW 16 "clase" 16
"MV13-58" 13 UNAMB 10 "si" 9
"MV13-58" 15 UNAMB 10 "si" 9
"MV13-59" 7 UNAMB 10 "si" 10
"MV13-59" 12 UNAMB 10 "si" 10
"MV13-60" 1 HIGH 13 "entraron" 13
"MV13-60" 1 UNAMB 10 "si" 10
"MV13-60" 4 UNAMB 10 "si" 9
"MV13-60" 8 UNAMB 10 "si" 9
"MV13-60" 11 UNAMB 10 "si" 10
"MV13-60" 12 UNAMB 10 "si" 10
