sn	wn	nw	let	l	f	p	word	log_freq	bigram	pos_bigram	len	logitpred	spm	spu	sp1	rv1	sp5	rv5	sp10	rv10	sp15	rv15	sp20	rv20	sp25	rv25	sp30	rv30	sp50	rv50	sp100	rv100	freq.pm	scaled.freq	scaled.log.freq	log.rv100	scaled.log.rv100	freq.class	spu.class	sp100.class	rv1.class	rv100.class
103	2	7	1.80246913580247	3	4.4285899164761	-1.386290111	und	4.3648511	1.0986123	12.127397	0.33333333	-1.38629011	6.588227	5.70237332122526	1.98440520771	51	0	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	23166.0025599907	0.692989094154058	0.964794604357391	5.2812582127327	0.77476502189049	5	5	1	1	1
103	3	7	2.04615384615385	5	1.42530103436759	-2.215395751	Marie	1.1354698	4.6821312	11.863005	0.2	-2.21539575	10.970367	0.410605694194925	3.75626196336	196.617105931	1.06359896316	196.617105931	0.353259067054	196.617105931	0.240443659522	196.617105931	0.2062573022	196.617105931	0.116909526851	395.929128334	0.0211433372344	395.929128334	3.20342650381e-16	395.929128334	3.20342650381e-16	395.929128334	13.6606007920636	0.000408643974892842	0.250981101382992	5.98123522638411	0.877452238545981	2	1	1	2	2
103	4	7	3.33976833976834	7	1.92745351785078	-1.654055207	spielen	2.1017539	0.6931472	12.641517	0.14285714	-1.65405521	5.803305	1.94521828158175	3.16762744878	522.345601286	1.88455035985	218.925658896	1.45519976312	218.925658896	1.12156949158	218.925658896	0.721438311142	218.925658896	0.690974971875	218.925658896	0.722178814722	218.925658896	0.505497618759	422.57079941	0.149371575677	422.57079941	126.401986716378	0.00378119608883834	0.464565863978064	6.04635700532656	0.887005658290968	3	2	2	3	3
103	5	7	1.71739130434783	3	2.46617338037812	-1.504075429	oft	2.3649279	1.6094379	12.925034	0.33333333	-1.50407543	15.193964	3.3725918180308	1.1361472271	145.617105931	1.61174937142	145.617105931	1.75740154342	145.617105931	1.65194699043	145.617105931	1.73070168046	196.617105931	1.43646614998	196.617105931	1.31640844829	196.617105931	0.885197610959	196.617105931	0.827237462478	394.085139536	231.70099564192	0.00693111652166508	0.522737116419448	5.9765669761467	0.876767402309674	3	4	4	2	2
103	6	7	1.03875968992248	2	3.71737921171809	-0.811810846	im	3.8291905	5.5683445	11.955352	0.5	-0.81181085	4.852871	1.93722519443291	2.99562176344	130.561438751	1.56350673379	145.617105931	1.56331995992	145.617105931	1.68073964277	196.617105931	1.94681666038	196.617105931	2.10832174797	196.617105931	1.90264456458	196.617105931	2.32641413312	196.617105931	1.5107537579	196.617105931	6748.23969232992	0.201867218973667	0.846393668149775	5.2812582127327	0.77476502189049	4	2	4	1	1
103	7	7	2.33333333333333	7	1.7485694182144	-0.082538928	Garten	NA	NA	NA	NA	NA	NA	1.84980356347933	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA
104	1	7	2.10377358490566	3	3.6967764986441	-1.066756246	Die	NA	NA	NA	NA	NA	NA	2.04559655167458	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA
104	2	7	5.58217270194986	12	0.741153963425104	-2.552972737	Geschworenen	0.59210344	3.7841896	15.822097	0.08333333	-2.55297274	6.61735	1.17344818178616	0.544266065392	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	3.90933997130217	0.000116944214196531	0.130876905316071	5.2812582127327	0.77476502189049	1	1	1	2	1
104	3	7	3.03488372093023	7	1.99637155455919	-1.862855675	glauben	1.8635328	0.6931472	14.315436	0.14285714	-1.86285567	6.586956	2.39921852852349	0.344430885517	196.617105931	0.265168553075	196.617105931	0.17101849506	196.617105931	0.131553774163	395.929128334	0.107511373828	395.929128334	0.0508262924124	395.929128334	0.0400831925315	395.929128334	3.20342650381e-16	395.929128334	3.20342650381e-16	395.929128334	73.0352970545947	0.00218478195433456	0.411910131478029	5.98123522638411	0.877452238545981	2	3	1	2	2
104	4	7	1.84269662921348	3	3.8287320581689	-0.65715955	dem	3.8180642	2.5649494	13.279692	0.33333333	-0.65715955	10.592385	2.58655843892459	1.42976556915	51	0.505708013244	196.617105931	0.290665626116	196.617105931	0.235219174306	196.617105931	0.223944510197	196.617105931	0.240327358244	196.617105931	0.19729881487	196.617105931	0.14513973119	395.929128334	0.0425397153073	429.297861383	6577.55063444625	0.196761216964969	0.843934341597613	6.06215099358056	0.889322649652202	4	3	2	1	3
104	5	7	3.43034055727554	9	0.529432921111658	-2.552972737	Beklagten	0.47400198	3.6635616	15.822097	0.11111111	-2.55297274	6.54856	0.70666249498307	1.27525819246	371.57079941	0.86416742145	371.57079941	0.625523651354	371.57079941	0.619676986658	371.57079941	0.546883351745	371.57079941	0.494371500418	371.57079941	0.444711659773	371.57079941	0.369937244363	371.57079941	0.314274284829	422.57079941	2.97853000886945	8.90999130044966e-05	0.10477208552629	6.04635700532656	0.887005658290968	1	1	3	3	3
104	6	7	4.21290322580645	8	2.22511018445838	-2.552972737	bestimmt	1.9563932	0.6931472	14.315436	0.125	-2.55297274	6.586956	5.48651671120714	2.99044468241	134.593037414	1.09115650219	218.925658896	0.863080542078	218.925658896	0.78179628422	218.925658896	0.621675134469	218.925658896	0.617224965277	218.925658896	0.67450723035	218.925658896	0.652801891554	422.893369667	0.507480382379	422.893369667	90.4467987158091	0.00270563058727504	0.432435737237747	6.047120066103	0.887117599948684	2	5	3	2	3
104	7	7	3.06818181818182	6	2.83277387922834	-2.215395751	alles	NA	NA	NA	NA	NA	NA	7.74275253577868	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA
105	1	10	1.5990099009901	2	2.57929645653911	-2.215395751	Am	NA	NA	NA	NA	NA	NA	5.42033074072508	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA
105	10	10	2.33507853403141	8	2.09011691075201	1.13217987	Fenster	NA	NA	NA	NA	NA	NA	0.448094958285733	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA
105	2	10	2.80281690140845	6	2.11725803455309	-1.386290111	besten	2.0767897	6.7753661	12.44697	0.16666667	-1.38629011	4.607458	2.17787003909911	1.98831731325	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	119.341007521419	0.00356997356291987	0.459047846315996	5.2812582127327	0.77476502189049	3	3	1	2	1
105	3	10	3.24675324675325	7	2.16671718026153	-2.552972737	stellen	2.2150874	1.3862944	10.636744	0.14285714	-2.55297274	10.561552	5.25357839633106	1.78001760306	196.617105931	0.633536556696	395.929128334	0.280415921483	395.929128334	0	395.929128334	0	395.929128334	0	395.929128334	0	395.929128334	0	395.929128334	0	395.929128334	164.091996845	0.00490865715641156	0.489616787088119	5.98123522638411	0.877452238545981	3	5	1	2	2
105	4	10	1.60927152317881	3	3.31429919172384	-0.05889199	wir	3.0665533	5.8081425	13.613009	0.33333333	-0.05889199	10.81903	2.11769260933202	1.36111522495	145.617105931	0.679146504473	196.617105931	0.469546436127	196.617105931	0.403205449955	196.617105931	0.285671233829	196.617105931	0.173948144418	196.617105931	0.150039488098	196.617105931	0.134342769644	196.617105931	3.20342650381e-16	395.929128334	1165.61009480492	0.034868125462903	0.677822452595084	5.98123522638411	0.877452238545981	4	3	1	2	2
105	5	10	1.58333333333333	3	3.96434355739392	-1.13217987	das	3.9295441	8.1622311	12.531823	0.33333333	-1.13217987	5.434866	1.15744328824693	1.54520628821	51	1.41231207305	196.617105931	0.98081952155	196.617105931	1.08644210966	196.617105931	0.967533313564	196.617105931	0.991029814011	196.617105931	0.81741428495	196.617105931	0.472814720858	196.617105931	0.272537137793	395.929128334	8502.45026087209	0.254342771875013	0.868575550094806	5.98123522638411	0.877452238545981	4	1	3	1	2
105	6	10	2.65333333333333	7	1.17142512131622	-2.215395751	Klavier	1.2226931	4.9199809	15.822097	0.14285714	-2.21539575	6.573168	2.37124572684257	3.60821981073	301.431851041	2.30278837442	301.431851041	1.17187460769	196.617105931	1.15518291547	301.431851041	1.11894804324	301.431851041	1.00111422038	301.431851041	1.09449994776	301.431851041	1.04193542395	344.929128334	0.887478391074	378.297861383	16.699101329445	0.000499537849635961	0.270260698163338	5.93568187839276	0.870769524080589	2	3	4	3	2
105	7	10	3.01041666666667	5	3.90887785085892	-2.552972737	nicht	3.8499069	2.6390573	12.006932	0.2	-2.55297274	6.586956	7.69295556837328	3.40891229968	127.872520151	1.06279502966	196.617105931	1.07685426052	196.617105931	0.728959178442	196.617105931	0.648325863234	215.098116321	0.534685779164	395.929128334	0.526164330586	395.929128334	0.814841191956	395.929128334	0.878564102228	395.929128334	7077.94037836074	0.211729903705864	0.850972763858609	5.98123522638411	0.877452238545981	4	5	4	1	2
105	8	10	3.25462962962963	6	1.86286512246617	-2.552972737	direkt	1.9732706	6.302619	11.412011	0.16666667	-2.55297274	9.04095	5.48322043747231	3.04532252998	122.062975797	1.74374297068	218.925658896	2.29189075545	218.925658896	2.62469759916	218.925658896	2.57509242604	218.925658896	2.32168379855	218.925658896	2.15787348015	218.925658896	1.45515624362	465.536798903	1.13471260755	471.987953035	94.0309015371098	0.0028128456392054	0.436166271013706	6.1569534620289	0.903230251512223	2	5	4	1	3
