"item" "roi" "word" "frequency" "freq.class" "len" "predictability" "target"
29 11 "ring" 47 2 4 0.95 "0"
30 1 "mary" 87 2 4 0 "0"
30 2 "was" 9816 4 3 0.05 "0"
30 3 "thrilled" 3 1 8 0 "0"
30 4 "to" 26155 5 2 0.35 "0"
30 5 "receive" 76 2 7 0 "0"
30 6 "a" 23127 5 1 0.35 "1"
30 7 "trinket" 1 1 7 0 "0"
30 8 "from" 4371 4 4 0.75 "0"
30 9 "her" 3036 4 3 0.7 "0"
30 10 "boyfriend" 1 1 9 0.5 "0"
31 1 "covered" 104 3 7 0 "0"
31 2 "with" 7289 4 4 0.55 "1"
31 3 "maggots" 2 1 7 0 "0"
31 4 "the" 69974 5 3 0.9 "0"
31 5 "rug" 10 1 3 0 "0"
31 6 "was" 9816 4 3 0.55 "0"
31 7 "removed" 75 2 7 0 "0"
31 8 "from" 4371 4 4 0.9 "0"
31 9 "the" 69974 5 3 1 "0"
31 10 "smelly" 1 1 6 0 "0"
31 11 "dorm" 1 1 4 0 "0"
31 12 "room" 384 3 4 1 "0"
32 1 "propelled" 1 1 9 0 "0"
32 2 "from" 4371 4 4 0 "0"
32 3 "a" 23127 5 1 0.15 "0"
32 4 "submarine" 26 2 9 0 "0"
32 5 "the" 69974 5 3 0.75 "1"
32 6 "torpedo" 1 1 7 0.3 "0"
32 7 "struck" 59 2 6 0.05 "0"
32 8 "the" 69974 5 3 0.8 "0"
32 9 "battleship" 1 1 10 0 "0"
33 1 "alfred" 52 2 6 0 "0"
33 2 "served" 119 3 6 0 "0"
33 3 "baked" 8 1 5 0 "1"
33 4 "haddock" 1 1 6 0 "0"
33 5 "and" 28850 5 3 0.4 "0"
33 6 "asparagus" 1 1 9 0.05 "0"
33 7 "to" 26155 5 2 0.3 "0"
33 8 "his" 6994 4 3 0.5 "0"
33 9 "girlfriend" 1 1 10 0.25 "0"
34 1 "the" 69974 5 3 0 "0"
34 2 "dancer" 31 2 6 0 "0"
34 3 "resembled" 8 1 9 0 "0"
34 4 "a" 23127 5 1 0.8 "1"
34 5 "gazelle" 1 1 7 0 "0"
34 6 "as" 7251 4 2 0.15 "0"
34 7 "he" 9547 4 2 0.05 "0"
34 8 "leaped" 20 2 6 0.25 "0"
34 9 "across" 282 3 6 0.25 "0"
34 10 "the" 69974 5 3 1 "0"
34 11 "stage" 175 3 5 0.6 "0"
35 1 "the" 69974 5 3 0 "0"
35 2 "little" 831 3 6 0 "0"
35 3 "girl" 220 3 4 0.2 "0"
35 4 "had" 5134 4 3 0 "0"
35 5 "dimples" 1 1 7 0 "0"
35 6 "in" 21335 5 2 0.2 "0"
35 7 "her" 3036 4 3 0.9 "0"
35 8 "chin" 25 2 4 0.1 "0"
35 9 "and" 28850 5 3 0.95 "0"
35 10 "a" 23127 5 1 0.15 "1"
35 11 "freckle" 1 1 7 0.1 "0"
35 12 "on" 6740 4 2 0.95 "0"
35 13 "her" 3036 4 3 1 "0"
35 14 "nose" 60 2 4 0.85 "0"
36 1 "the" 69974 5 3 0 "0"
36 2 "beach" 61 2 5 0 "0"
36 3 "was" 9816 4 3 0.6 "0"
36 4 "covered" 104 3 7 0.1 "0"
36 5 "with" 7289 4 4 0.9 "1"
36 6 "pebbles" 3 1 7 0 "0"
36 7 "sea" 93 2 3 0 "0"
