"sn" "roi" "word" "frequency" "freq.class" "len" "predictability" "target" "nw"
"309" 29 3 "flared" 5 1 6 0 0 11
"310" 29 4 "his" 6994 4 3 0.7 1 11
"311" 29 5 "nostrils" 3 1 8 0.85 0 11
"312" 29 6 "as" 7251 4 2 0.05 0 11
"313" 29 7 "he" 9547 4 2 0.75 0 11
"314" 29 8 "entered" 97 2 7 0.05 0 11
"315" 29 9 "the" 69974 5 3 1 0 11
"316" 29 10 "boxing" 1 1 6 0 0 11
"317" 29 11 "ring" 47 2 4 0.95 0 11
"318" 30 1 "mary" 87 2 4 0 0 10
"319" 30 2 "was" 9816 4 3 0.05 0 10
"320" 30 3 "thrilled" 3 1 8 0 0 10
"321" 30 4 "to" 26155 5 2 0.35 0 10
"322" 30 5 "receive" 76 2 7 0 0 10
"323" 30 6 "a" 23127 5 1 0.35 1 10
"324" 30 7 "trinket" 1 1 7 0 0 10
"325" 30 8 "from" 4371 4 4 0.75 0 10
"326" 30 9 "her" 3036 4 3 0.7 0 10
"327" 30 10 "boyfriend" 1 1 9 0.5 0 10
"328" 31 1 "covered" 104 3 7 0 0 12
"329" 31 2 "with" 7289 4 4 0.55 1 12
"330" 31 3 "maggots" 2 1 7 0 0 12
"331" 31 4 "the" 69974 5 3 0.9 0 12
"332" 31 5 "rug" 10 1 3 0 0 12
"333" 31 6 "was" 9816 4 3 0.55 0 12
"334" 31 7 "removed" 75 2 7 0 0 12
"335" 31 8 "from" 4371 4 4 0.9 0 12
"336" 31 9 "the" 69974 5 3 1 0 12
"337" 31 10 "smelly" 1 1 6 0 0 12
"338" 31 11 "dorm" 1 1 4 0 0 12
"339" 31 12 "room" 384 3 4 1 0 12
"340" 32 1 "propelled" 1 1 9 0 0 9
"341" 32 2 "from" 4371 4 4 0 0 9
"342" 32 3 "a" 23127 5 1 0.15 0 9
"343" 32 4 "submarine" 26 2 9 0 0 9
"344" 32 5 "the" 69974 5 3 0.75 1 9
"345" 32 6 "torpedo" 1 1 7 0.3 0 9
"346" 32 7 "struck" 59 2 6 0.05 0 9
"347" 32 8 "the" 69974 5 3 0.8 0 9
"348" 32 9 "battleship" 1 1 10 0 0 9
"349" 33 1 "alfred" 52 2 6 0 0 9
"350" 33 2 "served" 119 3 6 0 0 9
"351" 33 3 "baked" 8 1 5 0 1 9
"352" 33 4 "haddock" 1 1 6 0 0 9
"353" 33 5 "and" 28850 5 3 0.4 0 9
"354" 33 6 "asparagus" 1 1 9 0.05 0 9
"355" 33 7 "to" 26155 5 2 0.3 0 9
"356" 33 8 "his" 6994 4 3 0.5 0 9
"357" 33 9 "girlfriend" 1 1 10 0.25 0 9
"358" 34 1 "the" 69974 5 3 0 0 11
"359" 34 2 "dancer" 31 2 6 0 0 11
"360" 34 3 "resembled" 8 1 9 0 0 11
"361" 34 4 "a" 23127 5 1 0.8 1 11
"362" 34 5 "gazelle" 1 1 7 0 0 11
"363" 34 6 "as" 7251 4 2 0.15 0 11
"364" 34 7 "he" 9547 4 2 0.05 0 11
"365" 34 8 "leaped" 20 2 6 0.25 0 11
"366" 34 9 "across" 282 3 6 0.25 0 11
"367" 34 10 "the" 69974 5 3 1 0 11
"368" 34 11 "stage" 175 3 5 0.6 0 11
"369" 35 1 "the" 69974 5 3 0 0 14
"370" 35 2 "little" 831 3 6 0 0 14
"371" 35 3 "girl" 220 3 4 0.2 0 14
"372" 35 4 "had" 5134 4 3 0 0 14
"373" 35 5 "dimples" 1 1 7 0 0 14
"374" 35 6 "in" 21335 5 2 0.2 0 14
"375" 35 7 "her" 3036 4 3 0.9 0 14
"376" 35 8 "chin" 25 2 4 0.1 0 14
"377" 35 9 "and" 28850 5 3 0.95 0 14
"378" 35 10 "a" 23127 5 1 0.15 1 14
"379" 35 11 "freckle" 1 1 7 0.1 0 14
"380" 35 12 "on" 6740 4 2 0.95 0 14
"381" 35 13 "her" 3036 4 3 1 0 14
"382" 35 14 "nose" 60 2 4 0.85 0 14
"383" 36 1 "the" 69974 5 3 0 0 10
"384" 36 2 "beach" 61 2 5 0 0 10
"385" 36 3 "was" 9816 4 3 0.6 0 10
"386" 36 4 "covered" 104 3 7 0.1 0 10
"387" 36 5 "with" 7289 4 4 0.9 1 10
